Time,Result ID,URL,Load zone,User scenario,Status code,RTT min,RTT max,RTT avg,Count,Value,Method,Content types,Compressed count,Avg content length,Avg compressed content length,Content type,Custom metric/Page title,Custom metric type,Log severity level,Log message,Standard deviation,Median
2018-05-29 20:12:08.583240+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,42.0,,,,,,,,,,,,
2018-05-29 20:12:11.602459+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,43.0,,,,,,,,,,,,
2018-05-29 20:12:14.622631+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,44.0,,,,,,,,,,,,
2018-05-29 20:12:17.642223+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,45.0,,,,,,,,,,,,
2018-05-29 20:12:20.661026+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,46.0,,,,,,,,,,,,
2018-05-29 20:12:23.677026+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,47.0,,,,,,,,,,,,
2018-05-29 20:12:26.698395+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,48.0,,,,,,,,,,,,
2018-05-29 20:12:29.716537+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,49.0,,,,,,,,,,,,
2018-05-29 20:12:32.736156+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,50.0,,,,,,,,,,,,
2018-05-29 20:12:35.755120+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,51.0,,,,,,,,,,,,
2018-05-29 20:12:38.776137+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,52.0,,,,,,,,,,,,
2018-05-29 20:12:41.795009+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,53.0,,,,,,,,,,,,
2018-05-29 20:12:44.815090+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,54.0,,,,,,,,,,,,
2018-05-29 20:12:47.833538+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,55.00000000000001,,,,,,,,,,,,
2018-05-29 20:12:50.853146+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,56.00000000000001,,,,,,,,,,,,
